RAMO;NPOLIZA;DEPEND;CLAVCOB;TIPOADIC;CLAVADIC;FINICOB;FTERMCOV;EDAD;SUMAASG;PMAANUAL;EXTRAPRIMA;IVAANUAL
300;00697808;00;03173;00;00000;2019-09-01;2020-09-01;046;0000025000;        4,8585;        0,0000;        0,9231
300;00697809;00;03173;00;00000;2020-09-01;2021-09-01;047;0000025000;        4,8585;        0,0000;        0,9231
300;00697810;00;03173;00;00000;2021-09-01;2022-09-01;048;0000025000;        4,8585;        0,0000;        0,9231
300;00697811;00;03173;00;00000;2022-09-01;2023-09-01;049;0000025000;        4,8585;        0,0000;        0,9231
300;00697812;00;03173;00;00000;2023-09-01;2024-09-01;050;0000025000;        5,1497;        0,0000;        0,9784
300;00697813;00;03173;00;00000;2024-09-01;2025-09-01;051;0000025000;        5,1497;        0,0000;        0,9784
300;00698500;00;03173;00;00000;2011-09-01;2012-09-01;031;0000025000;        3,5274;        0,0000;        0,6702
300;00698501;00;03173;00;00000;2012-09-01;2013-09-01;032;0000025000;        3,5274;        0,0000;        0,6702
300;00698502;00;03173;00;00000;2013-09-01;2014-09-01;033;0000025000;        3,5274;        0,0000;        0,6702
300;00698503;00;03173;00;00000;2014-09-01;2015-09-01;034;0000025000;        3,5274;        0,0000;        0,6702
300;00698504;00;03173;00;00000;2015-09-01;2016-09-01;035;0000025000;        3,7271;        0,0000;        0,7081
300;00698505;00;03173;00;00000;2016-09-01;2017-09-01;036;0000025000;        3,7271;        0,0000;        0,7081
300;00698506;00;03173;00;00000;2017-09-01;2018-09-01;037;0000025000;        3,7271;        0,0000;        0,7081
300;00698507;00;03173;00;00000;2018-09-01;2019-09-01;038;0000025000;        3,7271;        0,0000;        0,7081
300;00698508;00;03173;00;00000;2019-09-01;2020-09-01;039;0000025000;        3,7271;        0,0000;        0,7081
300;00698509;00;03173;00;00000;2020-09-01;2021-09-01;040;0000025000;        3,9933;        0,0000;        0,7587
300;00698510;00;03173;00;00000;2021-09-01;2022-09-01;041;0000025000;        3,9933;        0,0000;        0,7587
300;00698511;00;03173;00;00000;2022-09-01;2023-09-01;042;0000025000;        3,9933;        0,0000;        0,7587
300;00698512;00;03173;00;00000;2023-09-01;2024-09-01;043;0000025000;        3,9933;        0,0000;        0,7587
300;00698513;00;03173;00;00000;2024-09-01;2025-09-01;044;0000025000;        3,9933;        0,0000;        0,7587
